pt1,pt2,eta1,eta2,phi1,phi2,E1,E2
+3.0399682e+01,+2.2215740e+01,-1.1067729e+00,+1.3621721e+00,-3.1308999e+00,+3.0906892e-01,+5.0998711e+01,+4.6217406e+01
+4.8902023e+01,+3.6217687e+01,-8.8703871e-01,-6.5898907e-01,-2.4923487e+00,+8.2950139e-01,+6.9436133e+01,+4.4370621e+01
+3.3233398e+01,+2.8176779e+01,-5.0946254e-01,+1.4804478e+00,-3.0393593e+00,-2.9437376e-02,+3.7640543e+01,+6.5122949e+01
+2.7067426e+01,+2.6613322e+01,+1.1176287e+00,+1.1495609e+00,+1.6687011e+00,+1.3027307e+00,+4.5806875e+01,+4.6221785e+01
+4.7507129e+01,+3.5826000e+01,+2.9565111e-01,-6.2148333e-01,+2.2264431e+00,-9.5952612e-01,+4.9598586e+01,+4.2970324e+01
+3.5164887e+01,+3.0741703e+01,-4.8785821e-01,+1.2141684e+00,+2.9078796e+00,-2.3977157e-01,+3.9433266e+01,+5.6325707e+01
+5.3704320e+01,+3.9473500e+01,-1.9032731e+00,-2.0898800e+00,+2.4021552e+00,-3.8376567e-01,+1.8412244e+02,+1.6199231e+02
+5.3699027e+01,+4.3627625e+01,-8.8456082e-01,-5.2776313e-01,+3.0489254e+00,-3.0047950e-01,+7.6113500e+01,+4.9845969e+01
+4.8572555e+01,+4.5887715e+01,+2.3302791e+00,+2.0179188e+00,-2.3234949e+00,+6.7721671e-01,+2.5204494e+02,+1.7564867e+02
+4.1382473e+01,+3.6322234e+01,+4.1415834e-01,+1.4067991e+00,-1.1442977e+00,+1.8575121e+00,+4.4982727e+01,+7.8597602e+01
+7.3965602e+01,+2.8940311e+01,-1.6526803e+00,-1.6171266e+00,-2.0227509e+00,+1.3164425e+00,+2.0016909e+02,+7.5781141e+01
+3.7901352e+01,+2.7443324e+01,+1.9892431e+00,+1.8146017e-01,+6.1368459e-01,-2.5754135e+00,+1.4112186e+02,+2.7896389e+01
+2.8279539e+01,+2.3588582e+01,+7.9711300e-01,-1.5442520e+00,+1.4519905e+00,-1.5040227e+00,+3.7749840e+01,+5.7767801e+01
+6.1055969e+01,+9.4829229e+00,+2.0110884e+00,+1.0334500e+00,+1.0180951e+00,+9.9078476e-01,+2.3217413e+02,+1.5014321e+01
+4.0893512e+01,+3.8668270e+01,+1.1976877e+00,+2.0375121e+00,-6.7551202e-01,+2.4975660e+00,+7.3901609e+01,+1.5084209e+02
+3.7502824e+01,+1.8740404e+01,-2.6605427e-01,-2.4287286e+00,+2.4234838e+00,+2.0174742e-01,+3.8837988e+01,+1.0712576e+02
+4.2604375e+01,+3.9241309e+01,+8.6094701e-01,+1.9528064e+00,-2.7869511e+00,+1.0182073e+00,+5.9394027e+01,+1.4107873e+02
+5.0523785e+01,+3.0253580e+01,+1.9510689e+00,+2.2120025e+00,-2.8800383e+00,-1.0320937e-02,+1.8133811e+02,+1.3982403e+02
+4.9506484e+01,+4.3226398e+01,-2.1514124e-01,-1.4751834e-01,+8.2897878e-01,-2.2183650e+00,+5.0656633e+01,+4.3697590e+01
+2.5880279e+01,+1.5362814e+01,+7.0664012e-01,+1.4104223e+00,-2.3912303e+00,+6.8304729e-01,+3.2615373e+01,+3.3350730e+01
+3.8626797e+01,+8.2351758e+00,+1.5473853e+00,+1.0496402e+00,-2.0420067e+00,-1.7355106e+00,+9.4866914e+01,+1.3204237e+01
+4.4910027e+01,+4.4031250e+01,+1.5446970e+00,+1.5569876e+00,+2.2078097e+00,-9.0596479e-01,+1.1002800e+02,+1.0909359e+02
+6.1141086e+01,+2.6436773e+01,-2.1553020e+00,-1.4017692e+00,+1.8175808e+00,-1.5277046e+00,+2.6738116e+02,+5.6952070e+01
+2.5010275e+01,+1.8335119e+01,+1.9653013e+00,+1.7038943e+00,+2.3756523e+00,-8.3741581e-01,+9.1002148e+01,+5.2046906e+01
+4.9101148e+01,+4.2880133e+01,+1.6826751e+00,+1.9832470e+00,-2.2862549e+00,+9.8758608e-01,+1.3664375e+02,+1.5874058e+02
+4.3659383e+01,+4.3578066e+01,-1.0258361e+00,-1.5016333e+00,-1.6074769e+00,+1.5782524e+00,+6.8718273e+01,+1.0266520e+02
+4.4637902e+01,+4.0786160e+01,-1.4901172e-01,-8.4400970e-01,-3.0959315e+00,-9.2379861e-02,+4.5134523e+01,+5.6196422e+01
+6.8448383e+01,+8.5286514e+00,-2.3476272e+00,-1.6667631e+00,+3.6079946e-01,-1.1905401e-01,+3.6128131e+02,+2.3384955e+01
+3.5384199e+01,+2.8507283e+01,+1.5845950e+00,-1.0002466e-02,+1.2600563e+00,-1.5881125e+00,+8.9917375e+01,+2.8508709e+01
+3.9002672e+01,+3.3184793e+01,-1.0848283e+00,+4.7121164e-01,-1.5141016e+00,+2.3806603e+00,+6.4293875e+01,+3.6937805e+01
+4.9186359e+01,+3.7137977e+01,-1.0311207e+00,-1.3396162e+00,-1.5567491e+00,+1.6346586e+00,+7.7734461e+01,+7.5752633e+01
+1.0746343e+02,+3.9151930e+01,-5.0415349e-01,-1.1953638e+00,+2.7927811e+00,-2.1328731e+00,+1.2141219e+02,+7.0617430e+01
+3.0368225e+01,+2.5987732e+01,+1.8211238e+00,-2.7407166e-01,-1.5486373e+00,+2.5509655e+00,+9.6277023e+01,+2.6969895e+01
+5.2966238e+01,+7.7466270e+00,+1.7160615e+00,+1.3597589e+00,-3.6465353e-01,+3.3704561e-01,+1.5207538e+02,+1.6082254e+01
+4.8794535e+01,+3.6169086e+01,+1.4830481e+00,+2.1302605e+00,-5.7735789e-01,+2.7969387e+00,+1.1303994e+02,+1.5436727e+02
+3.3096194e+02,+2.5742578e+01,+5.3169325e-02,-1.7300817e+00,-1.3405190e+00,-8.7712437e-01,+3.3142987e+02,+7.4890187e+01
+7.5585938e+01,+2.6402334e+01,+2.0381877e+00,+1.8505750e+00,+3.1947315e-01,-2.5505877e+00,+2.9504778e+02,+8.6079844e+01
+6.0810488e+01,+1.6223001e+01,+1.8057530e-01,+9.0805876e-01,+2.8468022e+00,-4.7418761e-01,+6.1804711e+01,+2.3383922e+01
+3.8256852e+01,+1.4727200e+01,+1.5731807e+00,+9.2723370e-01,-2.5304065e+00,-1.5514268e-02,+9.6203461e+01,+2.1524939e+01
+4.5586363e+01,+4.1769543e+01,-9.2476085e-02,+4.2283499e-01,+2.2269995e+00,-9.1902614e-01,+4.5781547e+01,+4.5559609e+01
+5.0171258e+01,+4.2482637e+01,-1.7436275e+00,-8.0108935e-01,-1.1370757e+00,+1.7532880e+00,+1.4782794e+02,+5.6858898e+01
+4.4344125e+01,+3.6725934e+01,-9.3025428e-01,-1.8313667e+00,+1.7649869e+00,-1.4755635e+00,+6.4955434e+01,+1.1757085e+02
+3.2555955e+01,+2.4904498e+01,-2.1953396e-01,-4.0921304e-01,-1.4274290e+00,+1.9117471e+00,+3.3343629e+01,+2.7018955e+01
+5.5504910e+01,+9.3448037e+00,+2.3117557e-01,-3.0552563e-01,-1.8339763e+00,-1.2823907e+00,+5.6994777e+01,+9.7849268e+00
+5.1195801e+01,+1.7116277e+01,-2.3131454e+00,+1.5835631e-01,-9.1873842e-01,-1.2220232e+00,+2.6122947e+02,+1.7331658e+01
+2.9581766e+01,+9.0014170e+00,-2.1780615e-01,+1.9957165e-01,-1.1369088e+00,+2.2521632e+00,+3.0286217e+01,+9.1818789e+00
+9.3204617e+01,+3.9315992e+01,-9.5243283e-02,-6.3064456e-01,-6.2781751e-01,+2.5752490e+00,+9.3627742e+01,+4.7396801e+01
+4.8639363e+01,+4.7387937e+01,-1.9997910e+00,-1.8622895e+00,-2.1149628e+00,+8.9841944e-01,+1.8295397e+02,+1.5623280e+02
+5.6534359e+01,+7.2339189e+00,-1.0496403e+00,-6.8871379e-01,-1.8041003e+00,-1.0358987e+00,+9.0644000e+01,+9.0184346e+00
+3.6472473e+01,+3.6061555e+01,-1.8174336e+00,-3.5402146e-01,+1.7943044e+00,-1.3826154e+00,+1.1522532e+02,+3.8345074e+01
+4.7964980e+01,+3.1758596e+01,+1.5101675e+00,+3.5724714e-01,-6.1163908e-01,+1.9874027e+00,+1.1387759e+02,+3.3807012e+01
+1.2019557e+02,+6.9438539e+01,+8.6417687e-01,+1.2572325e+00,-3.7140974e-01,-1.3206544e+00,+1.6794027e+02,+1.3193734e+02
+5.2099824e+01,+3.3986055e+01,-2.0809145e+00,-9.6088922e-01,-2.8158388e+00,-1.0852327e-02,+2.1195795e+02,+5.0920945e+01
+3.9384715e+01,+7.6210166e+00,+2.0886323e+00,-2.0619869e+00,+1.1222470e+00,+1.8681686e+00,+1.6143250e+02,+3.0441295e+01
+4.1271574e+01,+3.5497441e+01,-7.0000231e-01,+4.5544180e-01,-8.9680225e-01,+2.3567302e+00,+5.1802875e+01,+3.9243090e+01
+5.1686398e+01,+4.2347668e+01,-9.8773867e-01,-1.1718211e+00,-9.0665483e-01,+2.4942439e+00,+7.9017477e+01,+7.4905992e+01
+5.1554012e+01,+3.5357957e+01,+1.9202428e+00,+1.2693359e+00,-2.8379378e+00,+2.8534256e-02,+1.7964478e+02,+6.7878641e+01
+3.5940734e+01,+7.1073462e+00,+3.8268673e-01,+7.7517170e-01,-2.0472946e+00,+2.7787101e+00,+3.8604754e+01,+9.3524062e+00
+2.5766090e+01,+2.5169707e+01,-7.0263714e-01,-8.6887515e-01,-1.3619702e+00,+1.2487587e+00,+3.2392627e+01,+3.5283687e+01
+4.1767477e+01,+3.8574562e+01,-1.2307400e+00,+1.7164120e-01,-1.3488957e+00,+2.6168525e+00,+7.7600594e+01,+3.9144176e+01
+4.3399734e+01,+3.6096707e+01,-2.1099837e+00,-1.5805899e+00,+2.6623791e-01,-2.7051888e+00,+1.8161373e+02,+9.1391039e+01
+2.8814916e+01,+7.4849424e+00,-8.9638335e-01,-6.6854250e-01,-4.8148975e-01,-1.9710663e-01,+4.1187691e+01,+9.2214785e+00
+3.8548277e+01,+3.4400102e+01,+2.3864415e-01,-1.1075702e+00,+5.4823798e-01,-2.3245273e+00,+3.9651180e+01,+5.7746680e+01
+4.0616594e+01,+1.7824859e+01,+1.9112612e+00,-1.6668898e+00,+3.0556457e+00,-4.6039945e-01,+1.4032028e+02,+4.8880266e+01
+3.3310500e+01,+7.3832983e+00,-1.0134338e+00,-2.3201203e+00,-2.7286971e+00,+3.3609673e-01,+5.1931328e+01,+3.7932434e+01
+3.8352660e+01,+3.6300738e+01,-1.7882830e-01,+1.1473297e+00,+2.4349625e+00,-1.5087521e-01,+3.8967547e+01,+6.2931945e+01
+3.4628809e+01,+1.5029146e+01,-1.5838828e+00,-2.0273349e+00,-1.7408791e+00,-1.8683718e+00,+8.7940211e+01,+5.8053891e+01
+2.7898918e+01,+2.5345205e+01,+1.5110109e+00,-7.2409534e-01,+2.4001491e+00,-6.8825042e-01,+6.6287859e+01,+3.2285236e+01
+4.4310254e+01,+3.7692309e+01,-1.9482605e+00,-9.3974483e-01,+1.3682059e+00,-1.3104951e+00,+1.5860845e+02,+5.5597309e+01
+3.7416395e+01,+3.3204164e+01,-7.9712793e-02,-1.0580261e+00,-3.8101029e-01,+2.8033626e+00,+3.7535332e+01,+5.3588523e+01
+3.9634344e+01,+3.7304051e+01,-1.2616469e+00,-1.3511880e-01,+3.0452889e-01,-2.8618743e+00,+7.5591078e+01,+3.7645250e+01
+4.2796742e+01,+3.1653223e+01,+2.3507879e+00,+1.1940303e+00,-8.9182723e-01,+2.0425761e+00,+2.2659013e+02,+5.7028973e+01
+2.5733553e+01,+1.4366910e+01,+7.0652717e-01,+1.9115831e+00,-1.8754342e+00,+3.1059883e+00,+3.2428236e+01,+4.9649414e+01
+1.1135526e+02,+3.6569125e+01,+1.7417725e+00,+8.6366260e-01,-2.2772005e+00,-9.8756951e-01,+3.2753262e+02,+5.1077062e+01
+3.4692164e+01,+2.7469336e+01,-5.3093356e-01,-2.4038765e+00,+8.9062488e-01,-1.9289197e+00,+3.9697949e+01,+1.5322891e+02
+2.9951844e+01,+2.7398902e+01,+1.7240150e+00,-4.1594979e-01,-2.4958134e+00,+6.8478614e-01,+8.6640922e+01,+2.9803660e+01
+5.0462344e+01,+3.5132207e+01,-1.6520939e+00,-1.3503920e+00,-2.2541072e+00,+9.3668479e-01,+1.3648913e+02,+7.2338633e+01
+3.0625322e+01,+3.0209857e+01,-4.4263282e-01,+1.5162280e-01,-2.2623208e+00,+5.8758551e-01,+3.3674906e+01,+3.0557961e+01
+4.4187895e+01,+4.1387473e+01,-1.1549605e+00,-1.4630188e+00,+1.7998878e+00,-1.2132069e+00,+7.7085148e+01,+9.4167203e+01
+5.0398910e+01,+8.1951836e+00,-1.3612671e+00,-1.4412791e+00,-1.1955022e+00,-2.0082107e+00,+1.0476601e+02,+1.8286721e+01
+4.2443047e+01,+3.8608477e+01,-1.6485394e+00,-1.3217221e+00,-3.0824640e+00,-8.7728985e-02,+1.1442032e+02,+7.7536422e+01
+6.8010219e+01,+3.6605145e+01,+1.5042629e+00,+1.0805784e+00,-3.4754640e-01,+1.8990122e+00,+1.6060670e+02,+6.0138363e+01
+4.9755039e+01,+3.0849729e+01,-8.8476926e-01,-2.0855215e+00,-1.4560872e+00,+2.0991294e+00,+7.0533687e+01,+1.2606792e+02
+4.7183437e+01,+2.2855752e+01,-2.6270762e-01,-2.1463215e+00,-2.7848709e+00,-6.6280258e-01,+4.8821012e+01,+9.9082547e+01
+8.7842680e+01,+3.7081652e+01,-1.0898740e+00,-4.2874599e-01,+3.0872221e+00,+1.4059682e+00,+1.4538663e+02,+4.0542555e+01
+3.8045965e+01,+1.6155042e+01,+5.1492238e-03,+1.9548360e+00,-2.0492201e+00,+1.3582910e+00,+3.8046469e+01,+5.8193277e+01
+5.0089816e+01,+2.2621240e+01,+1.8549060e+00,+2.0151961e+00,+6.4433090e-02,+3.0463791e+00,+1.6398316e+02,+8.6362156e+01
+5.9748102e+01,+2.9402133e+01,+1.5506498e+00,+6.8761623e-01,-2.2733366e+00,+1.3446548e+00,+1.4717877e+02,+3.6631262e+01
+3.7373809e+01,+3.5478090e+01,+9.2665762e-01,-4.7277150e-01,+2.3224771e+00,-8.6468393e-01,+5.4601867e+01,+3.9517539e+01
+4.7823121e+01,+4.0195008e+01,+1.9673364e-01,+7.1025407e-01,+2.7518623e+00,-5.9872591e-01,+4.8751586e+01,+5.0766844e+01
+3.0348807e+01,+2.7740197e+01,+8.5809082e-01,+6.4536817e-02,+2.3982470e-01,-1.5563600e+00,+4.2224793e+01,+2.7798188e+01
+4.1517527e+01,+4.0432367e+01,+7.2019428e-01,+1.8965328e+00,-1.6924113e+00,+1.2466946e+00,+5.2758191e+01,+1.3772964e+02
+6.5411891e+01,+5.6555621e+01,+8.5777650e-03,-4.0527776e-01,+2.4556696e+00,-4.3189505e-01,+6.5414297e+01,+6.1264176e+01
+3.2475957e+01,+3.2219859e+01,-2.3624120e+00,-8.4723300e-01,+4.3454769e-01,-2.6526697e+00,+1.7392044e+02,+4.4492102e+01
+4.2549180e+01,+4.2314797e+01,-7.2377205e-01,+7.7777922e-02,-2.1889303e+00,+7.7134693e-01,+5.4188973e+01,+4.2442984e+01
+4.3724715e+01,+3.4810102e+01,-8.4198600e-01,+1.0783569e+00,-1.5406786e+00,+1.5372375e+00,+6.0161398e+01,+5.7088551e+01
+3.6075445e+01,+2.4441141e+01,+3.1592184e-01,-1.7385278e+00,-5.9627163e-01,+2.3048623e+00,+3.7890898e+01,+7.1670555e+01
+3.9851281e+01,+2.7823611e+01,-2.4103460e+00,-7.4626851e-01,-2.9449756e+00,+6.0692197e-01,+2.2371713e+02,+3.5937793e+01
+4.2735559e+01,+3.6798949e+01,-2.3768253e+00,-1.2448151e+00,-2.9030211e+00,+4.2679548e-01,+2.3212889e+02,+6.9187383e+01
+8.3912641e+01,+2.5093811e+01,+1.1525853e+00,+1.4279256e+00,+1.0984819e+00,-2.1128151e+00,+1.4609981e+02,+5.5330016e+01
+3.7105504e+01,+7.7399375e+00,+4.7778910e-01,-2.2763534e+00,-1.1943262e+00,+3.4011015e-01,+4.1421957e+01,+3.8095156e+01
+5.0880336e+01,+3.1078869e+01,+8.7815374e-01,-9.1053474e-01,-2.1678696e+00,+7.4433225e-01,+7.1792203e+01,+4.4877273e+01
+3.4075063e+01,+3.3453480e+01,+3.4887433e-02,+1.6200469e+00,-1.6884701e-01,-2.9622600e+00,+3.4095801e+01,+8.7835734e+01
+1.5714700e+02,+1.6306972e+01,+5.6640458e-01,-1.9231476e-02,+1.3839988e+00,-2.8450465e+00,+1.8303566e+02,+1.6309987e+01
+2.6531588e+01,+2.5267064e+01,+8.6785561e-01,-1.4977118e+00,+1.2544295e+00,-1.8299581e+00,+3.7166246e+01,+5.9315629e+01
+1.0923055e+02,+4.0426566e+01,+1.1227844e+00,+7.6226950e-02,+5.7939506e-01,+1.4062581e+00,+1.8562492e+02,+4.0544211e+01
+4.0900770e+01,+3.2759715e+01,+6.3811684e-01,+1.9427011e+00,-2.9662354e+00,+1.5028250e-01,+4.9514566e+01,+1.1663920e+02
+5.0745926e+01,+4.0124758e+01,-1.6879228e+00,-1.3093578e+00,+2.8033960e+00,-8.0706251e-01,+1.4191453e+02,+7.9723703e+01
+3.7247953e+01,+3.6343277e+01,-9.7218841e-01,-2.3893490e+00,+2.1614471e-02,-2.6753738e+00,+5.6281348e+01,+1.9985317e+02
+4.4917180e+01,+3.6544906e+01,+2.7609575e-01,+1.1377327e+00,+2.4404802e+00,-6.7020965e-01,+4.6640195e+01,+6.2861570e+01
+4.0814383e+01,+3.8849082e+01,+1.0102672e-01,+9.1211289e-01,+1.5789891e+00,-1.6685623e+00,+4.1022844e+01,+5.6161238e+01
+6.4293531e+01,+2.6206758e+01,+8.3302999e-01,+1.7082764e+00,-4.2747978e-02,-2.8349693e+00,+8.7921664e+01,+7.4697352e+01
+5.4338922e+01,+3.7957414e+01,-2.1411111e+00,-2.2572691e+00,+1.2891725e-01,-3.0331848e+00,+2.3437497e+02,+1.8336453e+02
+5.0760484e+01,+2.2733984e+01,-1.1018457e+00,-7.5252920e-01,+1.3992608e+00,-2.2040544e+00,+8.4820094e+01,+2.9480686e+01
+4.8746293e+01,+4.1595984e+01,+1.8049984e+00,+1.8544292e+00,+2.3741040e+00,-9.2155582e-01,+1.5219656e+02,+1.3611441e+02
+6.4033844e+01,+4.2108094e+01,+2.5757658e-01,+2.6978227e-01,+3.0787697e+00,-3.2937208e-01,+6.6169797e+01,+4.3649777e+01
+2.7792650e+01,+2.7079801e+01,+4.5103198e-01,-1.7440752e+00,-1.8382258e+00,+1.1946146e+00,+3.0668010e+01,+7.9823406e+01
+2.5863689e+01,+1.8989566e+01,+3.7677532e-01,+6.6970789e-01,-2.7288231e-01,-1.8633975e+00,+2.7721311e+01,+2.3409621e+01
+3.8123996e+01,+3.4888656e+01,+8.3495378e-01,+2.2357538e+00,-3.0901408e-01,+3.0881329e+00,+5.2203227e+01,+1.6503105e+02
+4.8557980e+01,+4.7237758e+01,-1.7075280e+00,-2.3345509e+00,+2.4300749e+00,-1.0682218e+00,+1.3830833e+02,+2.4614831e+02
+6.0856219e+01,+1.2552221e+01,+3.1609634e-01,+2.4097161e+00,+2.3523895e-01,-3.0817616e+00,+6.3921898e+01,+7.0421984e+01
+4.5065520e+01,+4.1552152e+01,-2.0242753e+00,-1.8940057e+00,+2.0138347e+00,-1.0443558e+00,+1.7356339e+02,+1.4120266e+02
+4.1463430e+01,+4.0234953e+01,+2.0884655e+00,+1.2326983e+00,+1.9142880e+00,-1.3180268e+00,+1.6992533e+02,+7.4876812e+01
+4.1884844e+01,+3.6826480e+01,+2.0378703e-01,+1.4628266e+00,-9.6532607e-01,+2.5460584e+00,+4.2757711e+01,+8.3775312e+01
